account_type,account_mask,date,description,debit,credit,balance
chequing,scotia-...4821,2026-07-02,PAYROLL DEPOSIT ACME CORP,,3450.00,5120.45
chequing,scotia-...4821,2026-07-03,E-TRANSFER TO WS HISA,1000.00,,4120.45
chequing,scotia-...4821,2026-07-05,MORTGAGE PMT WEALTHSIMPLE,1890.00,,2230.45
chequing,scotia-...4821,2026-07-12,GROCERIES METRO,182.35,,2048.10
chequing,scotia-...4821,2026-07-16,PAYROLL DEPOSIT ACME CORP,,3450.00,5498.10
chequing,scotia-...4821,2026-07-21,TD LOC PAYMENT,450.00,,5048.10
chequing,scotia-...4821,2026-07-28,RENT UTILITIES HYDRO,214.60,,4833.50
chequing,scotia-...4821,2026-07-31,MISC DEBITS,633.50,,4200.00
savings,scotia-...7710,2026-07-15,TRANSFER FROM CHEQUING,,500.00,8450.00
savings,scotia-...7710,2026-07-31,INTEREST,,50.00,8500.00
